Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Age population, age 01, female",SP.POP.AG01.FE.IN,Nigeria,NGA,3321743,3347449.5,3343623.5,3329510.5,3318109.5,3305348.5,3290215.5,3311514,3361291.5,3408202
"Age population, age 01, male",SP.POP.AG01.MA.IN,Ghana,GHA,428274,431597.5,432755.5,427396,423988,425488,427342,429662,431878.5,434750
"Age population, age 01, male",SP.POP.AG01.MA.IN,Kenya,KEN,700687.5,700673,702618,702384,702819.5,702100,701925,708483.5,717995,726649.5
"Age population, age 01, male",SP.POP.AG01.MA.IN,Nigeria,NGA,3392868,3423033.5,3422710,3411197,3400279,3386894.5,3371773.5,3394151.5,3445704,3494469.5
"Age population, age 02, female",SP.POP.AG02.FE.IN,Ghana,GHA,410938.5,415357.5,418613.5,419493,414047,410685,412178,413941,416136.5,418116
"Age population, age 02, female",SP.POP.AG02.FE.IN,Kenya,KEN,692043,686214.5,686444,687347,687281,688383.5,687315.5,687852,695330,704491.5
"Age population, age 02, female",SP.POP.AG02.FE.IN,Nigeria,NGA,3239040.5,3281516,3308704,3305761.5,3292708.5,3283109.5,3272031.5,3258525,3281319,3331348.5
"Age population, age 02, male",SP.POP.AG02.MA.IN,Ghana,GHA,421784.5,426316.5,429787,430996.5,425731.5,422509,424141.5,426043.5,428427.5,430644
"Age population, age 02, male",SP.POP.AG02.MA.IN,Kenya,KEN,702037.5,696230.5,696653.5,697636,697509,698585,697379,697861.5,705538.5,715040.5
"Age population, age 02, male",SP.POP.AG02.MA.IN,Nigeria,NGA,3300975,3344752,3376383,3376977.5,3366711,3357779,3346269.5,3333023,3357051.5,3409357.5
"Age population, age 03, female",SP.POP.AG03.FE.IN,Ghana,GHA,401513,409378.5,413908,417174.5,418082,412770,409507,411036,412864.5,415063
"Age population, age 03, female",SP.POP.AG03.FE.IN,Kenya,KEN,697554,688711.5,683211.5,682563,683555.5,684090.5,684857.5,684338.5,685786.5,693301.5
"Age population, age 03, female",SP.POP.AG03.FE.IN,Nigeria,NGA,3158097.5,3199830.5,3243225,3270760.5,3268610,3257163,3249035,3239373.5,3227465,3250654
"Age population, age 03, male",SP.POP.AG03.MA.IN,Ghana,GHA,411789.5,419865,424509,428010,429276.5,424177,421082,422755.5,424713.5,427095
"Age population, age 03, male",SP.POP.AG03.MA.IN,Kenya,KEN,707536.5,698694.5,693268,692816.5,693886.5,694141,694616,694188.5,695849,703522.5
"Age population, age 03, male",SP.POP.AG03.MA.IN,Nigeria,NGA,3219858,3259595.5,3304294.5,3336200.5,3337595,3328895.5,3321401.5,3311335.5,3299696.5,3324540
"Age population, age 04, female",SP.POP.AG04.FE.IN,Ghana,GHA,390310.5,399960,407904,412439.5,415729,416742,411529.5,408317,409908.5,411742.5
"Age population, age 04, female",SP.POP.AG04.FE.IN,Kenya,KEN,702069.5,694849.5,686325.5,679962,679401,681021.5,681257.5,682516.5,682860.5,684360
"Age population, age 04, female",SP.POP.AG04.FE.IN,Nigeria,NGA,3064963.5,3120363,3162695.5,3206064.5,3233885.5,3232993.5,3222834,3215891.5,3207565,3196281.5
"Age population, age 04, male",SP.POP.AG04.MA.IN,Ghana,GHA,399887,409941,418085.5,422739.5,426272.5,427652,422665.5,419619,421338,423292.5
"Age population, age 04, male",SP.POP.AG04.MA.IN,Kenya,KEN,711592,704770.5,696282.5,689995.5,689629.5,691121.5,690851,692031,692694,694370
"Age population, age 04, male",SP.POP.AG04.MA.IN,Nigeria,NGA,3129690,3184304,3224736,3269405,3301551,3304053.5,3296467.5,3290048,3281207,3270511.5
"Age population, age 05, female",SP.POP.AG05.FE.IN,Ghana,GHA,377991.5,388806.5,398508,406444.5,411000,414377.5,415464,410307.5,407167,408764.5
"Age population, age 05, female",SP.POP.AG05.FE.IN,Kenya,KEN,701285,699724,692813.5,683417.5,677146,677337.5,678765,679372.5,681382,681781.5
"Age population, age 05, female",SP.POP.AG05.FE.IN,Nigeria,NGA,2962094,3029642,3085213,3127367,3170685,3199208,3199274.5,3190107,3184235.5,3176396
"Age population, age 05, male",SP.POP.AG05.MA.IN,Ghana,GHA,386769,398148,408238,416363,421026.5,424636.5,426083,421140,418144,419857.5
"Age population, age 05, male",SP.POP.AG05.MA.IN,Kenya,KEN,710041.5,709184,702695,693340.5,687144,687371.5,688523,688784,690861,691546
"Age population, age 05, male",SP.POP.AG05.MA.IN,Nigeria,NGA,3032869,3099447.5,3154404,3194742.5,3239393.5,3272106.5,3275361,3268586.5,3263076.5,3254975.5
"Age population, age 06, female",SP.POP.AG06.FE.IN,Ghana,GHA,367191,376589.5,387435.5,397120.5,405063.5,409690.5,413126.5,414248,409162.5,406040
"Age population, age 06, female",SP.POP.AG06.FE.IN,Kenya,KEN,693797.5,699146,697885,690090.5,680786.5,675412,675537.5,677201,678435.5,680501.5
"Age population, age 06, female",SP.POP.AG06.FE.IN,Nigeria,NGA,2863080.5,2930239,2997641,3052776,3094768,3138427.5,3167404,3168150,3159846.5,3154330
"Age population, age 06, male",SP.POP.AG06.MA.IN,Ghana,GHA,375273,385181,396571,406622,414728.5,419439.5,423087,424543.5,419646.5,416656.5
"Age population, age 06, male",SP.POP.AG06.MA.IN,Kenya,KEN,701706,707836.5,707297,699924.5,690660.5,685263.5,685361.5,686850,687802,689906
"Age population, age 06, male",SP.POP.AG06.MA.IN,Nigeria,NGA,2939398.5,3007442.5,3074135.5,3128814.5,3169086.5,3214035.5,3247073.5,3250852.5,3244769.5,3239831
"Age population, age 07, female",SP.POP.AG07.FE.IN,Ghana,GHA,359353,365933.5,375355,386178,395862.5,403856.5,408529.5,411989,413157,408092.5
"Age population, age 07, female",SP.POP.AG07.FE.IN,Kenya,KEN,681171.5,691772,697413.5,695255,687548.5,679238.5,673893.5,674166.5,676368,677663.5
"Age population, age 07, female",SP.POP.AG07.FE.IN,Nigeria,NGA,2762048.5,2835473.5,2902402.5,2969217,3023996.5,3066198.5,3110020,3139241.5,3140567.5,3132538.5
"Age population, age 07, male",SP.POP.AG07.MA.IN,Ghana,GHA,367003.5,373861.5,383773,395113,405130.5,413254.5,417982,421623,423094,418206
"Age population, age 07, male",SP.POP.AG07.MA.IN,Kenya,KEN,687917,699597,706036,704591,697305.5,688983.5,683606,683915.5,685957,686944.5
"Age population, age 07, male",SP.POP.AG07.MA.IN,Nigeria,NGA,2841138.5,2918213,2986292.5,3052613,3107078.5,3147573.5,3192656,3225882,3230121.5,3224503
"Age population, age 08, female",SP.POP.AG08.FE.IN,Ghana,GHA,353864.5,358260,364864,374267.5,385084.5,394806,402830,407519,411013,412182.5
"Age population, age 08, female",SP.POP.AG08.FE.IN,Kenya,KEN,663910,679248.5,690134.5,694883,692804,686101.5,677857,672636.5,673407.5,675671
"Age population, age 08, female",SP.POP.AG08.FE.IN,Nigeria,NGA,2664972,2739058,2812191,2878573.5,2944936.5,2999735,3042024.5,3085879,3115323.5,3116762.5
"Age population, age 08, male",SP.POP.AG08.MA.IN,Ghana,GHA,361321,365775,372640,382506.5,393806,403824,411944.5,416658.5,420301,421756.5
"Age population, age 08, male",SP.POP.AG08.MA.IN,Kenya,KEN,669525,685892,697873,703397.5,702033,695724,687464,682265.5,683088.5,685170.5
"Age population, age 08, male",SP.POP.AG08.MA.IN,Nigeria,NGA,2747418,2823637.5,2900661,2968382.5,3034417.5,3088955.5,3129550,3174685,3208104,3212667.5
"Age population, age 09, female",SP.POP.AG09.FE.IN,Ghana,GHA,348839,352936.5,357357,363950.5,373349.5,384193.5,393935.5,401964.5,406679,410167
"Age population, age 09, female",SP.POP.AG09.FE.IN,Kenya,KEN,645258.5,662096,677706.5,687726.5,692545.5,691429,684797.5,676676.5,671931,672764.5
"Age population, age 09, female",SP.POP.AG09.FE.IN,Nigeria,NGA,2576454,2646314.5,2720151,2792766.5,2858747,2925024,2979783,3022082,3066008,3095330.5
"Age population, age 09, male",SP.POP.AG09.MA.IN,Ghana,GHA,356092,360264.5,364729.5,371561.5,381394,392687.5,402695,410791.5,415500.5,419121
"Age population, age 09, male",SP.POP.AG09.MA.IN,Kenya,KEN,650156,667592.5,684251,695324.5,700921.5,700507,694251,686176,681493.5,682361.5
"Age population, age 09, male",SP.POP.AG09.MA.IN,Nigeria,NGA,2660809.5,2732930,2809098.5,2885754,2953206,3019228,3073763.5,3114405,3159631.5,3193182.5
"Age population, age 10, female",SP.POP.AG10.FE.IN,Ghana,GHA,339977.5,348055.5,352175,356589,363183,372608,383467,393209,401253,405957
"Age population, age 10, female",SP.POP.AG10.FE.IN,Kenya,KEN,627955.5,643600,660683.5,675503,685583,691269.5,690218,683701.5,676011.5,671326.5
"Age population, age 10, female",SP.POP.AG10.FE.IN,Nigeria,NGA,2488000.5,2561371,2631069,2704465,2776697,2842605.5,2908779.5,2963471.5,3005839.5,3049561.5
"Age population, age 10, male",SP.POP.AG10.MA.IN,Ghana,GHA,347086,355183.5,359366,363808,370617,380447.5,391729,401711,409795.5,414481
"Age population, age 10, male",SP.POP.AG10.MA.IN,Kenya,KEN,632071,648380.5,666082.5,681904,693039.5,699488,699106,693034,685447.5,680810.5
"Age population, age 10, male",SP.POP.AG10.MA.IN,Nigeria,NGA,2571676,2648651,2720745.5,2796588.5,2872957,2940385.5,3006350,3060859,3101593,3146885.5
"Age population, age 11, female",SP.POP.AG11.FE.IN,Ghana,GHA,331033,339311,347401.5,351512.5,355928,362551,371991.5,382846.5,392598.5,400627.5
"Age population, age 11, female",SP.POP.AG11.FE.IN,Kenya,KEN,611382.5,626382,642260.5,658593.5,673465.5,684361.5,690109,689164.5,683051.5,675422
"Age population, age 11, female",SP.POP.AG11.FE.IN,Nigeria,NGA,2404061.5,2475571,2548828,2618160,2691204,2763352,2829176.5,2895240,2949944,2992134
"Age population, age 11, male",SP.POP.AG11.MA.IN,Ghana,GHA,338120,346296.5,354396,358557,362983,369800,379625,390881,400849,408905
"Age population, age 11, male",SP.POP.AG11.MA.IN,Kenya,KEN,614572,630370,646931.5,663834.5,679711,691640.5,698104,697905.5,692308,684769
"Age population, age 11, male",SP.POP.AG11.MA.IN,Nigeria,NGA,2486629.5,2561233.5,2638182,2709985.5,2785555.5,2861870,2929238.5,2995131.5,3049674.5,3090486
"Age population, age 12, female",SP.POP.AG12.FE.IN,Ghana,GHA,324895.5,330440.5,338732.5,346801,350909.5,355359.5,362002.5,371438,382300,392037.5
"Age population, age 12, female",SP.POP.AG12.FE.IN,Kenya,KEN,596218.5,610054,625235,640528,656899,672395.5,683336,689171,688540,682470
"Age population, age 12, female",SP.POP.AG12.FE.IN,Nigeria,NGA,2323820,2393368,2464852.5,2537733,2606721,2679706,2751757,2817477.5,2883520.5,2938022.5
"Age population, age 12, male",SP.POP.AG12.MA.IN,Ghana,GHA,331973,337406.5,345586.5,353653,357797.5,362241.5,369062.5,378865,390107,400047
"Age population, age 12, male",SP.POP.AG12.MA.IN,Kenya,KEN,597814,612374.5,628531,643957,660939.5,677988,689961,696634,697076.5,691569
"Age population, age 12, male",SP.POP.AG12.MA.IN,Nigeria,NGA,2404267.5,2477328,2551958,2628582.5,2700102.5,2775633,2851859,2919145,2985035,3039612
"Age population, age 13, female",SP.POP.AG13.FE.IN,Ghana,GHA,318206,324333.5,329900.5,338158,346207.5,350358,354836,361473.5,370917,381768
"Age population, age 13, female",SP.POP.AG13.FE.IN,Kenya,KEN,580114.5,594740,608785,623295,638633,655728,671279,682307.5,688489.5,687910.5
"Age population, age 13, female",SP.POP.AG13.FE.IN,Nigeria,NGA,2243128.5,2314083.5,2383720,2454782.5,2527234.5,2596212,2669106.5,2741015,2806732,2872568.5
"Age population, age 13, male",SP.POP.AG13.MA.IN,Ghana,GHA,325186.5,331286.5,336732,344869.5,352906.5,357077.5,361534.5,368335.5,378128,389346
"Age population, age 13, male",SP.POP.AG13.MA.IN,Kenya,KEN,580196.5,595248,610242.5,625027,640552,658976,676090.5,688287.5,695712,696271.5
"Age population, age 13, male",SP.POP.AG13.MA.IN,Nigeria,NGA,2321694.5,2395613,2468780.5,2543037.5,2619291,2690803.5,2766247.5,2842341.5,2909626.5,2975530.5
"Age population, age 14, female",SP.POP.AG14.FE.IN,Ghana,GHA,310718.5,317640,323794.5,329310.5,337536,345635.5,349820.5,354287.5,360937.5,370380
"Age population, age 14, female",SP.POP.AG14.FE.IN,Kenya,KEN,561040.5,578535.5,593382,606718.5,621275.5,637387.5,654543,670174.5,681560.5,687795
"Age population, age 14, female",SP.POP.AG14.FE.IN,Nigeria,NGA,2160857.5,2233750.5,2304933.5,2374040,2444542.5,2517010,2585915.5,2658628.5,2730522.5,2796117
"Age population, age 14, male",SP.POP.AG14.MA.IN,Ghana,GHA,317493.5,324489,330604.5,335996,344092.5,352160,356352,360788,367585,377362
"Age population, age 14, male",SP.POP.AG14.MA.IN,Kenya,KEN,559307.5,577254.5,592809.5,606205.5,621106,638333,656850.5,674200.5,687249.5,694812.5
"Age population, age 14, male",SP.POP.AG14.MA.IN,Nigeria,NGA,2238310,2313278.5,2387424.5,2460115.5,2533880.5,2610136,2681568,2756845,2832917,2900277
"Age population, age 15, female",SP.POP.AG15.FE.IN,Ghana,GHA,300412.5,310122.5,317077,323152.5,328623.5,336917,345055.5,349220.5,353703,360358
"Age population, age 15, female",SP.POP.AG15.FE.IN,Kenya,KEN,541476.5,559370,577088.5,591204,604589,619951.5,636129,653355.5,669347,680772.5
"Age population, age 15, female",SP.POP.AG15.FE.IN,Nigeria,NGA,2067968.5,2151415.5,2224709,2295185.5,2363542.5,2434113.5,2506492,2575176,2647882.5,2719995.5
"Age population, age 15, male",SP.POP.AG15.MA.IN,Ghana,GHA,306850,316753,323767.5,329802.5,335143,343285.5,351374,355536,359972.5,366761.5
"Age population, age 15, male",SP.POP.AG15.MA.IN,Kenya,KEN,537571.5,555927.5,574450.5,588156.5,601688.5,618576,635932,654700,673008.5,686208
"Age population, age 15, male",SP.POP.AG15.MA.IN,Nigeria,NGA,2143711.5,2229803,2305161,2378670,2450692,2524500,2600643.5,2671865.5,2747132.5,2823620
"Age population, age 16, female",SP.POP.AG16.FE.IN,Ghana,GHA,289122,299772.5,309518.5,316359.5,322368,327934,336278,344378,348561,353036.5
"Age population, age 16, female",SP.POP.AG16.FE.IN,Kenya,KEN,524550.5,539827,557923,574966,589121.5,603250.5,618673.5,634909.5,652461.5,668433.5
"Age population, age 16, female",SP.POP.AG16.FE.IN,Nigeria,NGA,1974604.5,2058256.5,2142267.5,2214633,2284109,2352594.5,2423076,2495147,2563848,2637964.5
"Age population, age 16, male",SP.POP.AG16.MA.IN,Ghana,GHA,295234,306045,315967,322868.5,328830,334241.5,342414.5,350451,354613.5,359028.5
"Age population, age 16, male",SP.POP.AG16.MA.IN,Kenya,KEN,518410.5,533841,552825,569315.5,583168.5,598891,615934.5,633551.5,653350,671773
"Age population, age 16, male",SP.POP.AG16.MA.IN,Nigeria,NGA,2048443.5,2134903,2221534.5,2296055.5,2368668.5,2440779,2514464,2590308,2661543.5,2738483
"Age population, age 17, female",SP.POP.AG17.FE.IN,Ghana,GHA,280178.5,288435,299128,308719,315469,321596,327230.5,335521.5,343633,347764.5
"Age population, age 17, female",SP.POP.AG17.FE.IN,Kenya,KEN,507783,523048.5,538482,556048.5,573114.5,587845.5,602019,617483.5,633969.5,651386
"Age population, age 17, female",SP.POP.AG17.FE.IN,Nigeria,NGA,1902147,1964574,2049007.5,2131806.5,2202899.5,2272552,2340945.5,2411048,2483126.5,2555626.5
"Age population, age 17, male",SP.POP.AG17.MA.IN,Ghana,GHA,286089.5,294351,305185,314951,321754.5,327806,333264,341370,349397.5,353489
"Age population, age 17, male",SP.POP.AG17.MA.IN,Kenya,KEN,499585.5,514437,530522.5,547379,564017.5,580163,596058,613363.5,632043.5,651863
"Age population, age 17, male",SP.POP.AG17.MA.IN,Nigeria,NGA,1974307,2039173,2126376,2211905.5,2285278,2358016.5,2429988,2503304,2579151,2654581.5
"Age population, age 18, female",SP.POP.AG18.FE.IN,Ghana,GHA,272811,279445,287757.5,298259,307730.5,314620,320826.5,326400.5,334704,342690
"Age population, age 18, female",SP.POP.AG18.FE.IN,Kenya,KEN,491125,506502.5,521859.5,536969,554538,571939.5,586689.5,600889.5,616504,632702
"Age population, age 18, female",SP.POP.AG18.FE.IN,Nigeria,NGA,1844948.5,1891797.5,1955336,2038328.5,2119541,2190851.5,2260395,2328341.5,2398465,2477486.5
"Age population, age 18, male",SP.POP.AG18.MA.IN,Ghana,GHA,278534.5,285118,293416.5,304057.5,313693.5,320603,326709.5,332095,340189.5,348061.5
"Age population, age 18, male",SP.POP.AG18.MA.IN,Kenya,KEN,481029.5,495499.5,510999.5,524967.5,541967.5,560886,577204.5,593351.5,611704.5,630268.5
"Age population, age 18, male",SP.POP.AG18.MA.IN,Nigeria,NGA,1915410.5,1964396,2030311,2116185.5,2200264,2273796,2346367,2417896,2491232.5,2574598.5
"Age population, age 19, female",SP.POP.AG19.FE.IN,Ghana,GHA,268524.5,272042,278744,286839.5,297198.5,306823,313801.5,319935,325527.5,333638.5
"Age population, age 19, female",SP.POP.AG19.FE.IN,Kenya,KEN,477110.5,490009,505426,520616.5,535716,553432.5,570828.5,585591.5,599863.5,615045.5
"Age population, age 19, female",SP.POP.AG19.FE.IN,Nigeria,NGA,1788186.5,1834391.5,1882641,1944656,2025831,2107251.5,2178434,2247457.5,2315444,2395594.5
"Age population, age 19, male",SP.POP.AG19.MA.IN,Ghana,GHA,274090,277477,284109.5,292191.5,302677.5,312428,319399,325417.5,330799,338666
"Age population, age 19, male",SP.POP.AG19.MA.IN,Kenya,KEN,465555,476959.5,492049.5,505508,519615.5,538820.5,557901.5,574441,591587,609680.5
"Age population, age 19, male",SP.POP.AG19.MA.IN,Nigeria,NGA,1856877,1904770.5,1955083,2019574,2103759,2187969.5,2261301,2333350.5,2404914.5,2489037
"Age population, age 20, female",SP.POP.AG20.FE.IN,Ghana,GHA,266356,267728,271329,277793,285735,296261,305976.5,312870,319021.5,324382.5
"Age population, age 20, female",SP.POP.AG20.FE.IN,Kenya,KEN,463370,476048.5,488963.5,504295,519465.5,534617.5,552315.5,569712.5,584505,598248.5
"Age population, age 20, female",SP.POP.AG20.FE.IN,Nigeria,NGA,1724845,1777626.5,1825410.5,1872068.5,1932200,2013621,2094851.5,2165453.5,2234521,2314608
"Age population, age 20, male",SP.POP.AG20.MA.IN,Ghana,GHA,271559.5,272951.5,276406.5,282803,290721.5,301333.5,311143,318012.5,324023.5,329138
"Age population, age 20, male",SP.POP.AG20.MA.IN,Kenya,KEN,450920.5,461573.5,473567.5,486727,500315,516529,535886.5,555141,572610.5,589390.5
"Age population, age 20, male",SP.POP.AG20.MA.IN,Nigeria,NGA,1791626.5,1845576,1894972,1943784,2006507,2090838,2174758.5,2247498.5,2319587.5,2404144
"Age population, age 21, female",SP.POP.AG21.FE.IN,Ghana,GHA,264369.5,265539.5,267007.5,270361,276662.5,284789,295410.5,305027.5,311937.5,317846.5
"Age population, age 21, female",SP.POP.AG21.FE.IN,Kenya,KEN,451915,462300,474985.5,487848.5,503153.5,518338,533470.5,551165.5,568571,582807
"Age population, age 21, female",SP.POP.AG21.FE.IN,Nigeria,NGA,1662548.5,1714460.5,1768913.5,1815001,1859731.5,1920258,2001485,2082041.5,2152687,2234065
"Age population, age 21, male",SP.POP.AG21.MA.IN,Ghana,GHA,269207.5,270356,271830,275043,281270.5,289337,300009,309697.5,316557.5,322289.5
"Age population, age 21, male",SP.POP.AG21.MA.IN,Kenya,KEN,439037,447089.5,458283.5,468505.5,481781.5,497323.5,513682.5,533171,553263.5,570318
"Age population, age 21, male",SP.POP.AG21.MA.IN,Nigeria,NGA,1726116,1779872.5,1835415,1883192.5,1930185.5,1993198,2077210,2160420.5,2233199.5,2318570.5
"Age population, age 22, female",SP.POP.AG22.FE.IN,Ghana,GHA,261917,263540.5,264810,266024.5,269217.5,275716,283947.5,294462.5,304088,310785
"Age population, age 22, female",SP.POP.AG22.FE.IN,Kenya,KEN,443974,450751,461155,473763,486603.5,501947.5,517113,532249.5,549963.5,566860
"Age population, age 22, female",SP.POP.AG22.FE.IN,Nigeria,NGA,1608109.5,1652389.5,1706057.5,1758707,1802792,1848025.5,1908473,1989001,2069550,2150567.5
"Age population, age 22, male",SP.POP.AG22.MA.IN,Ghana,GHA,266569.5,267961,269197.5,270427,273476.5,279866.5,288008,298551,308217.5,314828.5
"Age population, age 22, male",SP.POP.AG22.MA.IN,Kenya,KEN,431125.5,435384.5,443931,453525.5,463856,478900.5,494569.5,511035.5,531269,550960.5
"Age population, age 22, male",SP.POP.AG22.MA.IN,Nigeria,NGA,1666014,1714145.5,1769578,1823377,1869247.5,1916644.5,1979456,2062717.5,2145900,2230051.5
"Age population, age 23, female",SP.POP.AG23.FE.IN,Ghana,GHA,258247.5,261078.5,262802.5,263814,264870,268271,274880,283009,293530.5,302996
"Age population, age 23, female",SP.POP.AG23.FE.IN,Kenya,KEN,437851,442609,449441.5,459687,472276.5,485255,500584.5,515760.5,530963,548279
"Age population, age 23, female",SP.POP.AG23.FE.IN,Nigeria,NGA,1557377.5,1598109.5,1644224,1696060,1746630,1791249.5,1836504,1896333.5,1976835,2064248.5
